ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON
14302;1323;-38.0793921348;145.3565214269;-38.0801042;145.3563806897
14303;1323;-38.0801042;145.3563806897;-38.0807442446;145.3562541957
14304;1323;-38.0807442446;145.3562541957;-38.0807441764;145.3562542092
14305;1323;-38.0807441764;145.3562542092;-38.0808563599;145.3562320377
14306;1324;-38.0047064637;145.2910973575;-38.0047236947;145.2909794633
14307;1324;-38.0047236947;145.2909794633;-38.0048780338;145.2918383901
14308;1324;-38.0048780338;145.2918383901;-38.0048586178;145.2917087067
14309;1324;-38.0048586178;145.2917087067;-38.0048286439;145.2915822958
14310;1324;-38.0048286439;145.2915822958;-38.004821407;145.2915575255
14311;1324;-38.004821407;145.2915575255;-38.0047556962;145.2914037635
14312;1324;-38.0047556962;145.2914037635;-38.004740757;145.2913596644
14313;1324;-38.004740757;145.2913596644;-38.0047293902;145.2913138947
14314;1324;-38.0047293902;145.2913138947;-38.0047051898;145.2911060734
14315;1324;-38.0047051898;145.2911060734;-38.0047064263;145.2910976133
14316;1325;-38.0045434706;145.2566745733;-38.0056292126;145.2564419246
14317;1325;-38.0056292126;145.2564419246;-38.0057377101;145.2565212653
14318;1325;-38.0057377101;145.2565212653;-38.0058280075;145.256587297
14319;1326;-38.0761166537;145.2513100704;-38.0762153107;145.2513260507
14320;1326;-38.0762153107;145.2513260507;-38.0762989163;145.251339593
14321;1326;-38.0762989163;145.251339593;-38.0763425675;145.25135134
14322;1326;-38.0763425675;145.25135134;-38.0763863727;145.251362234
14323;1326;-38.0763863727;145.251362234;-38.0764302887;145.2513722738
14324;1326;-38.0764302887;145.2513722738;-38.0764743331;145.251381435
14325;1326;-38.0764743331;145.251381435;-38.0765184782;145.2513897319
14326;1326;-38.0765184782;145.2513897319;-38.0765627231;145.2513971737
14327;1326;-38.0765627231;145.2513971737;-38.0766070614;145.2514037389
14328;1326;-38.0766070614;145.2514037389;-38.0766514641;145.2514094259
14329;1326;-38.0766514641;145.2514094259;-38.0766959217;145.2514142576
14330;1326;-38.0766959217;145.2514142576;-38.0767404544;145.2514182018
14331;1326;-38.0767404544;145.2514182018;-38.0767850244;145.2514212683
14332;1326;-38.0767850244;145.2514212683;-38.0768296141;145.251423468
14333;1326;-38.0768296141;145.251423468;-38.076874233;145.2514247914
14334;1326;-38.076874233;145.2514247914;-38.0769188711;145.2514252251
14335;1326;-38.0769188711;145.2514252251;-38.0769635027;145.2514247937
14336;1326;-38.0769635027;145.2514247937;-38.0770081268;145.251423496
14337;1326;-38.0770081268;145.251423496;-38.0770527259;145.2514213086
14338;1326;-38.0770527259;145.2514213086;-38.0770731698;145.2514199062
14339;1326;-38.0770731698;145.2514199062;-38.0770972912;145.2514182429
14340;1326;-38.0770972912;145.2514182429;-38.077141822;145.2514143116
14341;1326;-38.077141822;145.2514143116;-38.0771862911;145.2514095028
14342;1326;-38.0771862911;145.2514095028;-38.0772306994;145.2514038154
14343;1326;-38.0772306994;145.2514038154;-38.0778022098;145.2512747498
14344;1326;-38.0778022098;145.2512747498;-38.0780815223;145.2513151961
14345;1326;-38.0780815223;145.2513151961;-38.0786603122;145.2512159786
